# Observert dognnedbor, lygna. Element sum(precipitation_amount P1D), timeOffset PT6H.
# Dognet gaar fra 06 UTC dagen for til 06 UTC paa datoen.
# Primaer SN41480 (Aseral - Kyrkjebygda, 19.4 km), reserve SN42520 (Risnes i Fjotland, 25.1 km).
# Kun kvalitetskode 0-2. Tom mm betyr ingen godkjent maaling.
# Kilde: Meteorologisk institutt (CC BY 4.0).
dato;mm;kilde
2019-07-28;0.0;SN41480
2019-07-29;0.7;SN41480
2019-07-30;0.2;SN41480
2019-07-31;16.5;SN41480
2019-08-01;12.5;SN41480
2019-08-02;0.0;SN41480
2019-08-03;0.0;SN41480
2019-08-04;0.4;SN41480
2019-08-05;0.0;SN41480
2019-08-06;2.6;SN41480
2019-08-07;6.4;SN41480
2019-08-08;0.6;SN41480
2019-08-09;0.3;SN41480
2019-08-10;15.7;SN41480
2019-08-11;60.1;SN41480
2019-08-12;25.5;SN41480
2019-08-13;1.5;SN41480
2019-08-14;0.0;SN41480
2019-08-15;0.3;SN41480
2019-08-16;5.9;SN41480
2019-08-17;17.8;SN41480
2019-08-18;10.1;SN41480
2019-08-19;18.9;SN41480
2019-08-20;11.3;SN41480
2019-08-21;6.4;SN41480
2019-08-22;5.7;SN41480
2019-08-23;36.1;SN41480
2019-08-24;0.2;SN41480
2019-08-25;0.0;SN41480
2019-08-26;0.0;SN41480
2019-08-27;0.0;SN41480
2019-08-28;0.0;SN41480
2019-08-29;10.1;SN41480
2019-08-30;1.0;SN41480
2019-08-31;9.5;SN41480
2020-06-01;0.0;SN41480
2020-06-02;0.0;SN41480
2020-06-03;0.0;SN41480
2020-06-04;3.3;SN41480
2020-06-05;21.8;SN41480
2020-06-06;19.8;SN41480
2020-06-07;0.2;SN41480
2020-06-08;0.2;SN41480
2020-06-09;0.0;SN41480
2020-06-10;0.1;SN41480
2020-06-11;0.2;SN41480
2020-06-12;0.0;SN41480
2020-06-13;0.0;SN41480
2020-06-14;17.7;SN41480
2020-06-15;0.0;SN41480
2020-06-16;0.0;SN41480
2020-06-17;0.0;SN41480
2020-06-18;11.2;SN41480
2020-06-19;0.1;SN41480
2020-06-20;3.4;SN41480
2020-06-21;0.0;SN41480
2020-06-22;5.6;SN41480
2020-06-23;0.1;SN41480
2020-06-24;0.0;SN41480
2020-06-25;0.0;SN41480
2020-06-26;0.0;SN41480
2020-06-27;8.1;SN41480
2020-06-28;11.0;SN41480
2020-06-29;7.6;SN41480
2020-06-30;39.1;SN41480
2020-07-01;2.3;SN41480
2020-07-02;0.4;SN41480
2020-07-03;0.0;SN41480
2020-07-04;7.0;SN41480
2020-07-05;8.2;SN41480
2020-07-06;24.6;SN41480
2020-07-07;0.6;SN41480
2020-07-08;0.6;SN41480
2020-07-09;0.0;SN41480
2020-07-10;0.0;SN41480
2020-07-11;12.2;SN41480
2020-07-12;0.0;SN41480
2020-07-13;0.0;SN41480
2020-07-14;3.0;SN41480
2020-07-15;19.6;SN41480
2020-07-16;1.2;SN41480
2020-07-17;0.0;SN41480
2020-07-18;5.7;SN41480
2020-07-19;36.3;SN41480
2020-07-20;4.6;SN41480
2020-07-21;0.0;SN41480
2020-07-22;0.0;SN41480
2020-07-23;0.0;SN41480
2020-07-24;10.8;SN41480
2020-07-25;0.2;SN41480
2020-07-26;18.3;SN41480
2020-07-27;44.3;SN41480
2020-07-28;37.5;SN41480
2020-07-29;25.1;SN41480
2020-07-30;1.2;SN41480
2020-07-31;0.0;SN41480
2020-08-01;0.0;SN41480
2020-08-02;0.8;SN41480
2020-08-03;0.1;SN41480
2020-08-04;0.0;SN41480
2020-08-05;20.1;SN41480
2020-08-06;17.2;SN41480
2020-08-07;0.4;SN41480
2020-08-08;0.0;SN41480
2020-08-09;0.7;SN41480
2020-08-10;0.0;SN41480
2020-08-11;0.0;SN41480
2020-08-12;0.0;SN41480
2020-08-13;0.0;SN41480
2020-08-14;0.0;SN41480
2020-08-15;0.0;SN41480
2020-08-16;0.0;SN41480
2020-08-17;0.1;SN41480
2020-08-18;0.0;SN41480
2020-08-19;0.2;SN41480
2020-08-20;0.0;SN41480
2020-08-21;9.2;SN41480
2020-08-22;48.6;SN41480
2020-08-23;8.6;SN41480
2020-08-24;0.1;SN41480
2020-08-25;0.0;SN41480
2020-08-26;3.2;SN41480
2020-08-27;2.6;SN41480
2020-08-28;0.1;SN41480
2020-08-29;0.3;SN41480
2020-08-30;0.1;SN41480
2020-08-31;0.0;SN41480
2021-06-01;0.0;SN41480
2021-06-02;0.0;SN41480
2021-06-03;1.0;SN41480
2021-06-04;7.5;SN41480
2021-06-05;0.0;SN41480
2021-06-06;2.6;SN41480
2021-06-07;0.0;SN41480
2021-06-08;0.0;SN41480
2021-06-09;0.0;SN41480
2021-06-10;0.0;SN41480
2021-06-11;0.0;SN41480
2021-06-12;2.0;SN41480
2021-06-13;0.0;SN41480
2021-06-14;0.2;SN41480
2021-06-15;16.5;SN41480
2021-06-16;0.0;SN41480
2021-06-17;0.0;SN41480
2021-06-18;7.8;SN41480
2021-06-19;3.5;SN41480
2021-06-20;4.0;SN41480
2021-06-21;24.2;SN41480
2021-06-22;0.0;SN41480
2021-06-23;0.0;SN41480
2021-06-24;0.0;SN41480
2021-06-25;0.0;SN41480
2021-06-26;0.1;SN41480
2021-06-27;1.9;SN41480
2021-06-28;0.0;SN41480
2021-06-29;0.0;SN41480
2021-06-30;0.0;SN41480
2021-07-01;0.0;SN41480
2021-07-02;2.7;SN41480
2021-07-03;9.2;SN41480
2021-07-04;7.4;SN41480
