# Observert dognnedbor, sygna. Element sum(precipitation_amount P1D), timeOffset PT6H.
# Dognet gaar fra 06 UTC dagen for til 06 UTC paa datoen.
# Primaer SN39150 (Kristiansand - Somskleiva, 12.7 km), reserve SN39040 (Kjevik, 15.0 km).
# Kun kvalitetskode 0-2. Tom mm betyr ingen godkjent maaling.
# Kilde: Meteorologisk institutt (CC BY 4.0).
dato;mm;kilde
2022-06-29;0.0;SN39150
2022-06-30;0.0;SN39150
2022-07-01;0.0;SN39150
2022-07-02;2.9;SN39150
2022-07-03;19.0;SN39150
2022-07-04;4.4;SN39150
2022-07-05;1.9;SN39150
2022-07-06;0.0;SN39150
2022-07-07;1.7;SN39150
2022-07-08;0.0;SN39150
2022-07-09;0.0;SN39150
2022-07-10;0.0;SN39150
2022-07-11;0.0;SN39150
2022-07-12;0.0;SN39150
2022-07-13;0.8;SN39150
2022-07-14;0.1;SN39150
2022-07-15;0.0;SN39150
2022-07-16;0.0;SN39150
2022-07-17;0.0;SN39150
2022-07-18;0.0;SN39150
2022-07-19;0.0;SN39150
2022-07-20;0.0;SN39150
2022-07-21;0.0;SN39150
2022-07-22;0.0;SN39150
2022-07-23;0.0;SN39150
2022-07-24;0.6;SN39150
2022-07-25;6.8;SN39150
2022-07-26;11.7;SN39150
2022-07-27;0.0;SN39150
2022-07-28;0.0;SN39150
2022-07-29;0.0;SN39150
2022-07-30;0.0;SN39150
2022-07-31;0.0;SN39150
2022-08-01;3.5;SN39150
2022-08-02;0.0;SN39150
2022-08-03;57.1;SN39150
2022-08-04;3.9;SN39150
2022-08-05;1.0;SN39150
2022-08-06;0.0;SN39150
2022-08-07;0.4;SN39150
2022-08-08;1.0;SN39150
2022-08-09;0.0;SN39150
2022-08-10;0.0;SN39150
2022-08-11;0.0;SN39150
2022-08-12;0.0;SN39150
2022-08-13;0.0;SN39150
2022-08-14;0.0;SN39150
2022-08-15;0.7;SN39150
2022-08-16;7.6;SN39150
2022-08-17;0.0;SN39150
2022-08-18;0.0;SN39150
2022-08-19;0.0;SN39150
2022-08-20;0.0;SN39150
2022-08-21;5.4;SN39150
2022-08-22;0.7;SN39150
2022-08-23;0.0;SN39150
2022-08-24;4.0;SN39150
2022-08-25;0.4;SN39150
2022-08-26;0.0;SN39150
2022-08-27;51.5;SN39150
2022-08-28;0.0;SN39150
2022-08-29;0.0;SN39150
2022-08-30;0.0;SN39150
2022-08-31;9.6;SN39150
2023-06-01;0.0;SN39150
2023-06-02;0.0;SN39150
2023-06-03;0.0;SN39150
2023-06-04;0.0;SN39150
2023-06-05;0.0;SN39150
2023-06-06;0.0;SN39150
2023-06-07;0.0;SN39150
2023-06-08;0.0;SN39150
2023-06-09;0.0;SN39150
2023-06-10;0.0;SN39150
2023-06-11;0.0;SN39150
2023-06-12;0.0;SN39150
2023-06-13;0.0;SN39150
2023-06-14;0.0;SN39150
2023-06-15;0.0;SN39150
2023-06-16;0.0;SN39150
