# Observert dognnedbor, audna. Element sum(precipitation_amount P1D), timeOffset PT6H.
# Dognet gaar fra 06 UTC dagen for til 06 UTC paa datoen.
# Primaer SN41175 (Laudal - Kleiven, 2.4 km), reserve SN41860 (Kvineshei - Sorhelle, 24.6 km).
# Kun kvalitetskode 0-2. Tom mm betyr ingen godkjent maaling.
# Kilde: Meteorologisk institutt (CC BY 4.0).
dato;mm;kilde
2021-07-02;2.6;SN41175
2021-07-03;1.0;SN41175
2021-07-04;4.7;SN41175
2021-07-05;10.6;SN41175
2021-07-06;23.5;SN41175
2021-07-07;18.6;SN41175
2021-07-08;41.4;SN41175
2021-07-09;5.6;SN41175
2021-07-10;0.0;SN41175
2021-07-11;0.1;SN41175
2021-07-12;0.0;SN41175
2021-07-13;0.0;SN41175
2021-07-14;0.0;SN41175
2021-07-15;0.0;SN41175
2021-07-16;0.0;SN41175
2021-07-17;0.0;SN41175
2021-07-18;0.0;SN41175
2021-07-19;0.0;SN41175
2021-07-20;0.0;SN41175
2021-07-21;0.0;SN41175
2021-07-22;0.0;SN41175
2021-07-23;0.0;SN41175
2021-07-24;0.0;SN41175
2021-07-25;0.0;SN41175
2021-07-26;0.0;SN41175
2021-07-27;14.6;SN41175
2021-07-28;3.2;SN41175
2021-07-29;22.8;SN41175
2021-07-30;10.2;SN41175
2021-07-31;0.0;SN41175
2021-08-01;0.0;SN41175
2021-08-02;3.5;SN41175
2021-08-03;0.0;SN41175
2021-08-04;0.0;SN41175
2021-08-05;0.0;SN41175
2021-08-06;0.5;SN41175
2021-08-07;0.2;SN41175
2021-08-08;18.3;SN41175
2021-08-09;15.5;SN41175
2021-08-10;16.0;SN41175
2021-08-11;0.1;SN41175
2021-08-12;0.0;SN41175
2021-08-13;0.6;SN41175
2021-08-14;7.0;SN41175
2021-08-15;11.2;SN41175
2021-08-16;1.5;SN41175
2021-08-17;1.0;SN41175
2021-08-18;0.0;SN41175
2021-08-19;0.0;SN41175
2021-08-20;0.0;SN41175
2021-08-21;0.0;SN41175
2021-08-22;0.0;SN41175
2021-08-23;0.0;SN41175
2021-08-24;0.0;SN41175
2021-08-25;1.5;SN41175
2021-08-26;0.0;SN41175
2021-08-27;0.0;SN41175
2021-08-28;0.0;SN41175
2021-08-29;0.0;SN41175
2021-08-30;0.0;SN41175
2021-08-31;0.0;SN41175
2022-06-01;2.5;SN41175
2022-06-02;0.6;SN41175
2022-06-03;0.1;SN41175
2022-06-04;0.0;SN41175
2022-06-05;0.0;SN41175
2022-06-06;0.0;SN41175
2022-06-07;1.9;SN41175
2022-06-08;6.7;SN41175
2022-06-09;0.0;SN41175
2022-06-10;3.0;SN41175
2022-06-11;2.2;SN41175
2022-06-12;3.4;SN41175
2022-06-13;0.4;SN41175
2022-06-14;0.0;SN41175
2022-06-15;0.0;SN41175
2022-06-16;0.0;SN41175
2022-06-17;0.0;SN41175
2022-06-18;9.8;SN41175
2022-06-19;0.0;SN41175
2022-06-20;6.4;SN41175
2022-06-21;0.0;SN41175
2022-06-22;0.0;SN41175
2022-06-23;0.1;SN41175
2022-06-24;0.0;SN41175
2022-06-25;0.0;SN41175
2022-06-26;0.0;SN41175
2022-06-27;10.6;SN41175
2022-06-28;6.5;SN41175
2022-06-29;0.0;SN41175
2022-06-30;0.0;SN41175
2022-07-01;0.0;SN41175
2022-07-02;1.3;SN41175
2022-07-03;5.6;SN41175
2022-07-04;1.8;SN41175
2022-07-05;6.3;SN41175
2022-07-06;0.1;SN41175
2022-07-07;1.4;SN41175
2022-07-08;0.0;SN41175
2022-07-09;0.0;SN41175
2022-07-10;0.0;SN41175
2022-07-11;0.0;SN41175
2022-07-12;0.0;SN41175
2022-07-13;0.4;SN41175
2022-07-14;0.3;SN41175
2022-07-15;0.0;SN41175
2022-07-16;0.1;SN41175
2022-07-17;0.0;SN41175
2022-07-18;0.3;SN41175
2022-07-19;0.0;SN41175
2022-07-20;0.0;SN41175
2022-07-21;0.7;SN41175
2022-07-22;0.0;SN41175
2022-07-23;0.0;SN41175
2022-07-24;1.0;SN41175
2022-07-25;15.3;SN41175
2022-07-26;10.1;SN41175
2022-07-27;0.0;SN41175
2022-07-28;0.0;SN41175
2022-07-29;0.0;SN41175
2022-07-30;1.0;SN41175
2022-07-31;0.0;SN41175
2022-08-01;20.8;SN41175
2022-08-02;0.0;SN41175
2022-08-03;19.6;SN41175
2022-08-04;0.6;SN41175
2022-08-05;0.0;SN41175
2022-08-06;0.0;SN41175
2022-08-07;1.1;SN41175
2022-08-08;1.4;SN41175
2022-08-09;0.0;SN41175
2022-08-10;0.0;SN41175
2022-08-11;0.0;SN41175
2022-08-12;0.0;SN41175
2022-08-13;0.0;SN41175
2022-08-14;0.0;SN41175
2022-08-15;3.9;SN41175
2022-08-16;10.0;SN41175
2022-08-17;3.6;SN41175
2022-08-18;0.0;SN41175
2022-08-19;0.0;SN41175
2022-08-20;1.0;SN41175
2022-08-21;15.2;SN41175
2022-08-22;3.9;SN41175
2022-08-23;0.0;SN41175
2022-08-24;4.4;SN41175
2022-08-25;0.2;SN41175
2022-08-26;0.0;SN41175
2022-08-27;12.4;SN41175
2022-08-28;0.0;SN41175
2022-08-29;2.5;SN41175
2022-08-30;0.1;SN41175
2022-08-31;1.7;SN41175
2023-06-01;0.0;SN41175
2023-06-02;0.0;SN41175
2023-06-03;0.0;SN41175
2023-06-04;0.0;SN41175
2023-06-05;0.0;SN41175
2023-06-06;0.0;SN41175
2023-06-07;0.0;SN41175
2023-06-08;0.0;SN41175
2023-06-09;0.0;SN41175
2023-06-10;0.0;SN41175
2023-06-11;0.0;SN41175
2023-06-12;0.0;SN41175
2023-06-13;0.0;SN41175
2023-06-14;0.0;SN41175
2023-06-15;0.0;SN41175
2023-06-16;0.0;SN41175
2023-06-17;0.0;SN41175
2023-06-18;0.0;SN41175
2023-06-19;1.1;SN41175
2023-06-20;4.6;SN41175
2023-06-21;1.2;SN41175
2023-06-22;1.7;SN41175
2023-06-23;0.0;SN41175
2023-06-24;0.0;SN41175
2023-06-25;0.0;SN41175
